Job Title,Company Name,Location,Date Scraped,Job URL,Job Industry,Job Type,Job Seniority,Job Description,
0,Compliance Business Control Senior Analyst - Fixed Term Contract,Citi,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/compliance-business-control-senior-analyst-fixed-term-contract-at-citi-2588423587?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=Voq2agYfM7RvZ9KCojeXMQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Banking, Financial Services, and Investment Banking","Employment type
Contract",Not Applicable,"Job Id: 21314133  The Compl Bus Control Sr Analyst is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and work-flow for the area or function. Integrates subject matter and industry expertise within a defined area. Requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. Evaluates moderately complex and variable issues with substantial potential impact, where development of an approach/taking of an action involves weighing various alternatives and balancing potentially conflicting situations using multiple sources of information. Requires good analytical skills in order to filter, prioritize and validate potentially complex and dynamic material from multiple sources. Strong communication and diplomacy skills are required. Regularly assumes informal/formal leadership role within teams. Involved in coaching and training of new recruits Significant impact in terms of project size, geography, etc. by influencing decisions through advice, counsel and/or facilitating services to others in area of specialization. Work and performance of all teams in the area are directly affected by the performance of the individual.    :    :    -------------------------------------------------    Compliance and Control  -------------------------------------------------    Business Control  ------------------------------------------------------    ------------------------------------------------------  Citi is an equal opportunity and affirmative action employer.  Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.  Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .  View the """" poster. View the .  View the .  View the"
1,Business Analyst,Transport for NSW,"Burwood, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/business-analyst-at-transport-for-nsw-2656312779?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=dbpPFRyL8rifs4zIJpGPdg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Transportation/Trucking/Railroad,"Employment type
Full-time",Mid-Senior level,"About Us  Transport for NSW (TfNSW) is the lead agency of the NSW Transport cluster. Our role is to lead the development of a safe, efficient, integrated transport system that keeps people and goods moving, connects communities and shapes the future of our cities, centres and regions. We work with several government agencies to coordinate metro, train, bus, ferry, light rail, road and maritime services, always keeping the safety and comfort of our customers at the heart of what we do.    The Business Analyst roles sit within the Customer and Service Excellence function of Transport Shared Services and are part of the newly created Service Improvement unit.    An exciting new opportunity exists for 2 x . The roles provide expert analysis, advice and support in delivering projects within the branch and across the Corporate Services Division. TSS has an exciting pipeline of projects aimed to improve the customer experience which you could be part of!  The role will involve conducting research, high-level analysis and advice is ensure we select the right solutions and implement correctly. The role is responsible for monitoring, tracking and reporting on the status of key deliverables to ensure outcomes and goals are met.  The successful candidates must be able to display a working knowledge of business analysis processes to identify opportunities and risk management. They will have a demonstrated ability to present and explain complex technical information to a non-technical audience.  Process improvement, change management and a keen understanding of customer impacts is pivotal.    The salary for this position is Transport Grade 8 ($118,015 – $132,176) per annum plus superannuation and leave loading.  These are permanent full time opportunities, based in Burwood however with the current COVID environment the incumbent of the role will have the option of working from home.  For more information on Employee Benefits at Transport for NSW, click here.    Joining Transport for NSW, you’ll have access to a range of unique government benefits in a flexible work environment like no other. If you’re ready to step into this meaningful and rewarding role, we want to hear from you!  To apply for this position, please submit an updated resume and cover letter.      We are committed to being an inclusive, diverse and flexible workplace where differences are valued. We welcome people of all backgrounds, experience and abilities.  We enable our people to work in ways that work for them and their teams. Working virtually and from different locations including regional locations, staggering work hours and job sharing are just some of the ways our people can work flexibly.  Please contact the Talent Specialist below if you require any adjustments to be made to how you interact with us throughout the recruitment process or would like to discuss flexible work options.  For any enquiries, please email Kristen Wright at KRISTEN.WRIGHT@TRANSPORT.NSW.GOV.AU.  Find out more about Transport for NSW at https://www.transport.nsw.gov.au/about-us"
2,Business Analyst,Transport for NSW,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/business-analyst-at-transport-for-nsw-2656314661?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=pRJYS0Ue7x311OSekO6%2FSw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Transportation/Trucking/Railroad,"Employment type
Full-time",Associate,"About Us  Transport for NSW (TfNSW) is the lead agency of the NSW Transport cluster. Our role is to lead the development of a safe, efficient, integrated transport system that keeps people and goods moving, connects communities and shapes the future of our cities, centres and regions. We work with several government agencies to coordinate metro, train, bus, ferry, light rail, road and maritime services, always keeping the safety and comfort of our customers at the heart of what we do.    The Legal, Privacy and Internal Audit Branch, is within the Corporate Services division providing strategies, solutions and services that make our clients’ working lives easier and their projects more efficient and effective. Our high-performing teams work collaboratively across the organisation, partnering to provide critical advice, analysis and guidance for sensitive and complex matters.    With the goal of delivering ever greater public value for the people of NSW, our branch is undergoing an organisational transformation including streamlining processes, enhancing the breadth and depth of our internal specialist skill-set and investing in our operational capabilities. With a focus on growing our Branch Operations team, we are seeking 4 x permanent Business Analysts to join our expanding team to undertake roles in process improvement/digital enablement, data analytics and human resources.  Our Business Analysts will support across our branch in process innovation, change management, resource planning and management, data analytics and business reporting. Our business analysts will undertake research and analysis on a variety of business problems and processes to assist with determining the optimal solution to meet requirements, working closely with stakeholders from across the business.             Please click to view a copy of the position description    Grade 7 ($103,965 - $116,441) per annum plus superannuation and leave loading..    Joining Transport for NSW, you’ll have access to a range of unique government benefits in a flexible work environment like no other. If you’re ready to step into this meaningful and rewarding role, we want to hear from you!    To apply for this position, please submit your resume and a covering letter which identifies your preferred roles and order of preference:  In your covering letter you will also need to answer the following two questions:  Apply today to register your interest!  11:59pm, Monday 9th August 2021.    We are committed to being an inclusive, diverse and flexible workplace where differences are valued. We welcome people of all backgrounds, experience and abilities.  We enable our people to work in ways that work for them and their teams. Working virtually and from different locations including regional locations, staggering work hours and job sharing are just some of the ways our people can work flexibly.  Please contact the Talent Specialist below if you require any adjustments to be made to how you interact with us throughout the recruitment process or would like to discuss flexible work options.  For any enquiries, please email DYANNA HERNANDEZ at DYANNA.HERNANDEZ@TRANSPORT.NSW.GOV.AU.  Find out more about Transport for NSW at https://www.transport.nsw.gov.au/about-us"
3,Business Analyst,REA Group,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/business-analyst-at-rea-group-2656311879?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=HhvJ%2BTH0ozqAnjrag8vh5Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Computer Software, Information Technology and Services, and Online Media","Employment type
Full-time",Mid-Senior level,"The safety and wellbeing of our employees and potential employees are important to us. Our external candidates will have the choice to either interview in our offices or via Zoom. Not only do we wish to protect the health and safety of our people, we want to assure candidates that there is no expectation from REA to meet face-to-face. A virtual interview will not adversely impact your application. If you have any questions or concerns, this can be discussed through the screening process.    An Australian start-up success story we're quietly proud of.  From a garage in Melbourne to the global stage is an achievement we're humbled by. Our idea to put pictures of houses on the internet has blossomed since 1995, and we now have businesses across Australia, Asia, India and North America.  Our purpose is to change the way the world experiences property. No matter where you're at on your property journey, we're here to help on every step - whether that's buying, selling, renting or renovating.  Some of our brands include realestate.com.au, realcommercial.com.au, spacely.com.au, Flatmates.com.au, Smartline.com.au and Proptrack.com.      With us, you'll experience REA is evolving how it leverages data and technology to deliver benefits for customers. After the acquisition of PropTrack in May-18, and following large growth in recent years, we are now looking for an experienced Senior Technical Lead to help build the systems and applications of B2B API and web application solutions for the banking sector.   PropTrack provides property data and technical platform solutions to customers in the financial and government sectors. The Engineering Team within PropTrack works together to deliver solutions to our internal and external customers. It is the core delivery center for developing solutions to meet customer priorities and align with PropTrack's technology strategy."
4,Product Analyst,Prospecta Software,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/product-analyst-at-prospecta-software-2662311105?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=ckj5I9qfHES71TjYnbnp2A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services and Computer Software,"Employment type
Full-time",Entry level,"The position  Prospecta is looking for a Graduate Product Analyst who will work creatively and strategically with a cross-functional team of product managers, developers, and our senior product designers to help build and improve the experience of our core product portfolio."
5,Software Engineer,Tripadvisor,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/software-engineer-at-tripadvisor-2534744192?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=yfm1poToefA1qL5yZl%2F%2FKA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Computer Software, Internet, and Leisure, Travel & Tourism","Employment type
Full-time",Mid-Senior level,"Software Engineering, Sydney, Viator  Who We Are  At Tripadvisor, we believe there’s good out there. We understand that travel brings out the best in us, while lifting deserving businesses and strengthening the communities we meet along the way. We know that as the world’s largest travel site, we’re here to inspire and empower people to explore our world with confidence — and share their trip experiences with others. And every day, we see our ideas come to life in work that enables travellers to discover all the good the world has to offer. As part of the Tripadvisor team, you’ll have the opportunity to do the same.    This is an exciting opportunity for a developer to join the Viator engineering team in Sydney, Australia. Viator is a world leading marketplace for experiences and is part of TripAdvisor, the world’s largest travel site. The Viator team consists of world-class experts in SEO, usability, marketing, and of course, technology. Bring your skills and enthusiasm to this collaborative team.    The role will see you developing within our marketplace platform that connects tour operators, travellers and third party distributors, including e-Commerce websites and multiple backend systems. You will work in our agile development teams using the latest technologies to deliver solutions in a fast paced and complex environment. Developers at Viator are cross-functional and get to work on complete vertical slices of functionality from the front end all the way to the database. If you are looking to be challenged technically and have fun, this is the place for you!"
6,Lead Data Engineer,Tripadvisor,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/lead-data-engineer-at-tripadvisor-2534742513?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=GuBTEVq2%2Baitii%2BREHeAjQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Computer Software, Internet, and Leisure, Travel & Tourism","Employment type
Full-time",Not Applicable,"Lead Data Engineer, Sydney, Viator  Who We Are  At Tripadvisor, we believe there’s good out there. We understand that travel brings out the best in us, while lifting deserving businesses and strengthening the communities we meet along the way. We know that as the world’s largest travel site, we’re here to inspire and empower people to explore our world with confidence — and share their trip experiences with others. And every day, we see our ideas come to life in work that enables travellers to discover all the good the world has to offer. As part of the Tripadvisor team, you’ll have the opportunity to do the same.  This is an exciting opportunity to join the Viator engineering team in Sydney, Australia. Viator is a world leading marketplace for experiences and is part of TripAdvisor, the world’s largest travel site. The Viator team consists of world-class experts in SEO, usability, marketing, and of course, technology. Bring your skills and enthusiasm to this collaborative team.  The role will see you defining and implementing our data strategy within our marketplace platform that connects tour operators, travellers and third party distributors, including e-Commerce websites and multiple backend systems. You will work alongside our agile development teams using the latest technologies to deliver solutions in a fast paced and complex environment. If you are looking to be challenged technically and have fun, this is the place for you!"
7,Digital Analyst/ Channel Manager Digital Banking,Citi,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/digital-analyst-channel-manager-digital-banking-at-citi-2588424582?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=r6DGZieitxSuNDkLtmb4QA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Banking, Financial Services, and Investment Banking","Employment type
Full-time",Not Applicable,"Job Id: 21300679  The Digital Exp Intmd Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the sub function/ job family. Applies analytical thinking and knowledge of data analysis tools and methodologies. Requires attention to detail when making judgments and recommendations based on the analysis of factual information. Typically deals with variable issues with potentially broader business impact. Applies professional judgment when interpreting data and results. Breaks down information in a systematic and communicable manner. Developed communication and diplomacy skills are required in order to exchange potentially complex/sensitive information. Moderate but direct impact through close contact with the businesses' core activities. Quality and timeliness of service provided will affect the effectiveness of own team and other closely related teams.    :    :    This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.  -------------------------------------------------    Product Management and Development  -------------------------------------------------    Digital Product Management  ------------------------------------------------------    Full time  ------------------------------------------------------  Citi is an equal opportunity and affirmative action employer.  Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.  Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .  View the """" poster. View the .  View the .  View the"
8,Data Engineer - TM1/Planning Analytics,Amazon,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/data-engineer-tm1-planning-analytics-at-amazon-2535409602?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=%2FUvMG9OpC4%2FrD9bWfit9tg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Computer Software, Information Technology and Services, and Internet","Employment type
Full-time",Not Applicable,"Description  As part of the brand new Worldwide Operations team, you will be given the tools and the environment to drive change in one of the fastest growing, largest and most complex supply chains in the world.  This role provides the perfect opportunity for a seasoned TM1 developer or consultant to take on a wide variety of green fields projects and expand the skill set into data engineering with the AWS stack, Python and TMPy.    Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.        - Amazon Support Services PtyLtd Job ID: A1551015"
9,Business Analyst - Process Management and Continuous Improvement,Westpac Group,"Parramatta, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/business-analyst-process-management-and-continuous-improvement-at-westpac-group-2656312335?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=mKMCWR%2B22fX4mBWRDIWjTg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Banking, Financial Services, and Investment Banking","Employment type
Full-time",Not Applicable," How will I help?  An exciting opportunity to join the Business Improvement team sitting within the Chief Operating Office of Financial Crime & Fraud Prevention (FCFP) and is a key driver of change within the business unit. The team works with both internal and external stakeholders to identify areas of improvement, determine root causes, and design and implement appropriate solutions.  Reporting to the Senior Manager, Process Management & Continuous Improvement you will take responsibility for both leading and supporting business-led changes impacting FCFP as the situation requires. You will partner closely with senior management as well as all levels of employees to provide analysis and advice on opportunities for improvement and assist with the delivery of sustainable change into the operational environment.  Other key responsibilities include being a subject matter expert on process management and improvement, coaching and training others in the use of process improvement tools and techniques, and driving a culture of continuous improvement across the business unit.    You will play an important and significant part in the future of a business that has been around for 200 years. Our vision is to become one of the world’s great service companies. So, we will back you in the development of your career, with internal career prospects and flexible working. You will also be backed by a fantastic team of people in a can-do, supportive structure.    You will bring with you, proven experience as a Business Analyst and able to display experience working with continuous improvement and problem-solving techniques/tools/methodologies as well as process modelling or mapping.  Be proficient in data collection, analysis, and reporting and comfortable in presenting to a wide range of stakeholders with the ability to simplify the complex.  Stakeholder management skills are essential to success in this role as is the ability to work a high standard at a fast pace.  Lean Six Sigma Green Belt certification desired but not essential.    We aim to provide one big, supportive team of people who love helping others succeed. As an equal opportunity employer, we are proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion.    Start here. Just click on the APPLY button.  As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply.  The health and wellbeing of our employees is our top priority. We have developed clear standards to ensure our people are confident, safe, and healthy whether they are working from a Westpac Group site or working from home. These are based on expert medical advice and Safe Work Australia guidelines."
