,skill,count,mentions_percent
24,excel,870,33.85
3,reporting,841,32.72
33,industry,603,23.46
19,sql,451,17.55
6,tableau,218,8.48
17,python,202,7.86
4,power bi,151,5.88
18,sas,140,5.45
14,programming,112,4.36
32,domain,112,4.36
5,powerbi,93,3.62
30,google,84,3.27
16, r ,73,2.84
25,etl,65,2.53
26,azure,62,2.41
27,aws,61,2.37
21,machine learning,54,2.1
40,pipeline,52,2.02
23,microsoft excel,47,1.83
31,oracle,34,1.32
8,qlik,29,1.13
0,data visualization,26,1.01
29,gcp,23,0.89
42,hadoop,19,0.74
13,data preparation,14,0.54
37,databricks,14,0.54
12,data prep,14,0.54
15,matlab,13,0.51
35,spark,11,0.43
22, ml ,10,0.39
7,looker,8,0.31
28,google cloud platform,5,0.19
11,data cleaning,3,0.12
1,data viz,2,0.08
9,google data studio,2,0.08
39,dbt,2,0.08
20,nosql,1,0.04
34,apache,1,0.04
10,gds,0,0
36,dataproc,0,0
38,airflow,0,0
41,scalding,0,0
2,visualizing data,0,0
43,pig,0,0
