,Job Title,Company Name,Location,Date Scraped,Job URL,Job Industry,Job Type,Job Seniority,Job Description
0,"
Risk Advisory - Data & Analytics - 2022 Graduate Program (Sy...",Deloitte,Sydney NSW,7/18/2021,https://au.indeed.com/rc/clk?jk=fb0bbd1a5c988660&fccid=9e215d88a6b33622&vjs=3,NA,NA,NA,"Date: 18-Jul-2021

Location:
Sydney, NSW, AU

Department: Risk Advisory

Description:
Job Requisition ID: 14341

Receive unparalleled professional development through our year-round graduate training program, D|Academy
Roll up your sleeves for worthwhile causes on our annual volunteer day, Impact Day, or by working on pro-bono projects
Work with industry leaders and experts, and a top-tier list of clients

You’re an absolute data nut. You love working with numbers and large data sets (the more unstructured – the better!). In Risk Analytics - Regulatory and Compliance, we help clients navigate risks and capture opportunities with insights from their data.

What will you get to do?
No two days are the same in the Risk Analytics - Regulatory & Compliance team. On a typical project, you’ll start off by sourcing and preparing data for analysis. Then, you’ll dive deep into the data to develop meaningful insights for the client using software like Excel, SQL and advanced statistical modelling software such as SAS, SPSS and R. Don’t fret, you'll have 100% support from the team as you pick up these new skills! Once you’ve discovered hidden data insights, you’ll get to develop tailored recommendations and solutions for the client. Pretty cool, right?

Your future starts with us.
Our curious and data-driven Regulatory & Compliance team is comprised of 2 main pillars:

Data Risk and Compliance Analytics: Our Data Risk and Compliance Analytics team supports our clients from development of their data strategy and governance framework through to implementation of operational analytics solutions leveraging robotic process automation and machine learning. Currently, we’re focusing on regulatory compliance, reducing operational risk, data lifecycle management, and controls transformation within a wide range of industries!
Workplace Integrity: Our Workplace Integrity team combines practitioners with advanced analytic skills and deep industrial relations expertise to support clients to navigate the complex workplace regulatory landscape and identify innovative opportunities to achieve great outcomes for businesses and their employees.

Enough about us, let’s talk about you
You are an inquisitive student with a knack for solving complex problems. You may also have:

Bachelor degree or higher qualification in Engineering, Mathematics, Statistics, Actuarial Studies, Commerce, IT, Computer Science or equivalent fields
Great interpersonal skills and thrive in collaborative environments
Able to articulate business problems and data insights
A passion for data analysis and presenting data for visual impact
Enjoys coming up with creative solutions to solve ambiguous and fuzzy problems
Motivated to use your own initiative to achieve high standards for your clients and team.
Australian permanent residency or Australian/New Zealand Citizenship (required)

Why Deloitte?

At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space."
1,Technical Business Analyst (Banking/Superannuation),Realtekh Australia,Sydney NSW,7/18/2021,https://au.indeed.com/company/Realtekh-Australia/jobs/Technical-Business-Analyst-3b3924af42f6f374?fccid=04a69ffea48e63d2&vjs=3,NA,NA,NA,"Role : Technical Business Analyst (Banking/Superannuation)
Mode: Permanent
Location: Sydney
Job description below:
This project is being established as a multi phased rollout of a a superannuation solution over a number of years. Our client is still establishing the project team and this is a fantastic opportunity to join and help shape the direction of this project and solution.
To be successful in the role you will need:
Strong Business Analysis experience (5 years+)
Agile SCRUM project delivery experience within a large enterprise environment
Documentation, requirement gathering and governance experience, particularly within a regulatory compliant system development project
Data mapping experience
Process development skills
Ideally experience in superannuation and pensions
Job Types: Full-time, Permanent
Salary: $110,663.00 – $124,229.00 per year
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplementary Pay:
Bonus
Application Question(s):
VISA Status for Australia ? (PR / Australian)
Experience:
Superannuation or ealth management: 3 years (Preferred)
Banking domain: 4 years (Preferred)"
2,"
Business Analyst",NSW Department of Communities and Justice,Parramatta NSW,7/18/2021,https://au.indeed.com/rc/clk?jk=34e6313b2e67167e&fccid=4bbd13443ece6176&vjs=3,NA,NA,NA,"Division: Strategy Policy and Commissioning
Location: Parramatta, NSW, AU, 2150
Req ID: 26169
Business Analyst

Ongoing - Full-Time
Location: Ashfield (moving to Parramatta late 2021)
Clerk Grade 7/8, Salary ($97,443 - $107,864 pa), plus employer’s contribution to superannuation and annual leave loading
This role is part of a reform and is only available to Department of Communities and Justice employees. No external candidates will be considered for the role.

About us

The Department of Communities and Justice carries an important purpose across many areas of its work, particularly when it comes to improving outcomes for children and young people, Aboriginal people, people with disability, people from culturally and linguistically diverse backgrounds, people experiencing domestic and family violence, victims of sexual assault, juvenile offenders, people at high risk of reoffending, and people experiencing homelessness.

Working together for stronger communities means we can continue to deliver our services with a more unified and collaborative approach. This means a greater focus on prevention and early intervention, faster responses, more seamless operations, less duplication of effort and better outcomes.

The Implementation, Performance and Stewardship is accountable for the following:

Program management of Specialist Homelessness Services and other homelessness programs and initiatives, including recommissioning of homelessness services
Implementation and monitoring of homelessness strategy initiatives
Homelessness programs stewardship and sector development, including quality assurance accreditation and an Aboriginal Service Improvement Strategy
Demonstrating achievement of outcomes and identifying improvement opportunities
Policy, design, implementation and monitoring of youth specific homelessness programs and pathways
Delivering homelessness programs reviews and evaluations
Identifying recommendations from evaluations to improve aspects of the commissioned solution across the whole commissioning cycle
NSW and National (AIHW) homelessness data reporting
Client Information Management System (CIMS) maintenance
Housing, Homelessness and Disability budget management and reporting
Housing, Homelessness and Disability change management and risk reporting

About the role

Providing financial expertise in the Housing and Homelessness Budgeting and Reporting team

Key accountabilities

Ability to undertake financial analysis
Experience using databases including SAP, Adaptive Planning and Adaptive Insights
Experience in journaling
Prepare advice in the form of briefs, budget submissions and discussion papers to contribute to responses to Ministerial, Cabinet or DCJ requests.
Liaise and work across the Housing and Homelessness Directorate on program area budgets
Essential requirements of the role

Relevant tertiary qualifications or equivalent experience
Knowledge of legislation relevant to the Department’s portfolio, government functions and the legislative process
About you

In addition to meeting the essential requirements, the successful candidate must demonstrate strong capabilities in:

Developing reports and analysis
Provide quality assurance of financial data
Trouble shooting
High level written skills
Does this sound like you? Click here to download the role description and here for supplementary information.

Applying for the role

When applying you will need to submit a cover letter (maximum 2 pages) outlining how you meet the requirements and capabilities of this role and attach an up-to-date resume (maximum of 5 pages)

This role is part of a reform and only internal candidates to Department of Communities and Justice will be considered.

Closing date: Monday 2nd August 2021 at 11:59 pm

For role enquiries please contact Zoe Dendle on 0427 134 531 or via email at: zoe.dendle@facs.nsw.gov.au

If you experience technical difficulties when submitting your application, please contact Michelle Hutchison via Michelle.Hutchison@justice.nsw.gov.au

IMPORTANT

To ensure recruitment at the Department of Communities and Justice continues without interruption during the COVID-19 pandemic, some interviews and assessments may be performed using alternative methods.
This may include video interviewing, telephone interviewing and online assessments. If you are successful following review of your application, you may need to perform assessments and/or interviews via online platforms using a PC, laptop or smart phone. By doing so, we will be adhering to the strict social distancing advice currently in place.

Inclusion and Diversity lies at the heart of how we recruit

We continue to hire great people with a wide variety of skills, experience and backgrounds. This includes people with disability, Aboriginal and Torres Strait Islander people, women, people identifying as LGBTIQ+, culturally and linguistically diverse people, carers and other diversity groups.

If you require an adjustment within the recruitment process, please contact Michelle Hutchison via Michelle.Hutchison@justice.nsw.gov.au and advise us of your preferred method of communication.

If you are looking for more information about workplace adjustments at DCJ, please visit our Careers site.

Thank you for your interest in this role. We look forward to receiving your application."
3,"
PMO Analyst",Peoplebank,Sydney NSW,7/18/2021,https://au.indeed.com/rc/clk?jk=1b077eeca7b68fb9&fccid=c90e910978217fed&vjs=3,NA,NA,NA,"North Ryde location

Initial 6 Month contract + Extensions

Working across multiple projects

Key Responsibilities
Track and analyse projects by reporting on performance against agreed KPIs, key risks, variances, and trends
Provide accurate, timely and transparent project analysis data and reports to senior leadership and business stakeholders.
Analyse resources required for project delivery to identify resource capacity and update capacity plans and forecast to ensure resource allocations meet project requirements.
Monitor project scheduling and manage overall portfolio schedule in collaboration with other PMO Analysts.
Monitor and analyse project financials including assessing variances, reforecasting, accruals, transfers, and month end process.
Facilitate monthly project health check reviews.
Provide PMO induction to PMs and key project resources including Project Portfolio Management training and support to the specified Project Team.
Ensure projects are in adherence to PMO procedures, policies, and governance. Ensure documentation is completed in line with framework, and project templates are up to date, adhered to and rolled out effectively.
Support the Head of Project Assurance in ensuring a consistent focus on the delivery of Macquarie project portfolio and that milestones, quality criteria are met within the PMO standards.
Participate in change activities and adopt new ways of working to support organisational changes required to create and sustain IT and Faculties' technology capabilities.
Comply with relevant EEO and WHS regulations.
Perform any other duties as required and appropriate for this classification.
Providing advice and guidance to PMs and project resources on process and good practice.
Supporting Head of Project Delivery and PMs in the recruitment and onboarding of project resources.
Key Skills and Essential Experience
Tertiary qualification or diploma in Information Technology, Information Systems or a combination of relevant experience and training.
Strong financial and analytical skills.
Expert knowledge of project management tools and techniques.
Microsoft Office Suite and Microsoft reporting tools
Certifications in project management (Agile, PRINCE2) and Change Management (ADKAR) highly regarded.
Experience with MS Office Suite (with advanced Excel skills) MS Teams and SharePoint.
ServiceNow experience highly regarded
Extensive experience as a PMO Analyst or similar role in a complex environment.
Experience working in a PMO of more than $20 million portfolio capex.
Experience in methodologies such as PRINCE2, Agile, PMBOK.
Experience with business transformation projects.
Proficient with Microsoft MS SharePoint, ServiceNow, MS Visio.
data analysis and report preparation using Microsoft reporting tools.
Strong analytical and numerical skills with experience in monitoring and analysing project financials and budgets.
Excellent written and verbal communication skills
If interested in the role please select APPLY or contact Richard.bissitt@peoplebank.com.au quoting reference 236967"
0,"
Data Analyst",TabCorp Holdings,Sydney NSW,7/21/2021,https://au.indeed.com/rc/clk?jk=5005aa1c44381e0d&fccid=03ca15d10acd1376&vjs=3,NA,NA,NA,"Job no: 504458
Work type: Permanent Full-Time
Location: Sydney - George Street
One day you’re helping us boldly innovate, another you’re leading an initiative, or pitching in where needed. At Tabcorp, each day brings a different challenge and another opportunity – and this is what we live for.
As part of the Data Analytics & Governance team, you will work across many facets of the wagering business. Supporting key stakeholders such as VIP Customer, Trading, Risk, CRM & Marketing, you will also work within cross functional squads to support the wider marketing team.

What you’ll do
As a Data Analyst, you will support the broader Analytics team in delivering reports and insights across Wagering with the goal of improving both financial performance and operational processes within the business. By serving our stakeholders with self service capabilities you will be tasked with spending time on ‘value-add’ initiatives and will be a key advocate for driving a data driven culture at Tabcorp.


Engage with various stakeholders within the business championing analytics.
Automate weekly business reporting processes ensuring accuracy and timeliness of output.
Support the business by identifying problems and providing solutions by applying the appropriate tools and techniques.
Gather requirements from key stakeholders and start new work streams.
Develop and maintain current Tableau dashboard.
Support Senior members of the team with data preparation and/or presentations for key tasks and priorities.
Participate in change initiatives by implementing new directions/initiatives and providing appropriate information and feedback.

What you’ll bring
1-3 years relevant analytics experience.
Degree level qualification specialising in Computer Science, Statistics, Mathematics, Economics or related field, or equivalent experience with data analytics.
Experience using SQL, R/Python and Microsoft Office Suite is essential.
Knowledge with Tableau would be highly advantageous.
Adept at identifying data requirements to answer business questions in a timely manner.
Demonstrates robust problem-solving skills, participates in problem-solving discussions, and suggests ideas as opportunities arise.

About Tabcorp
We’re Australia’s largest gambling entertainment company. Together, we build on our 100+ year heritage by delivering Excitement with Integrity, every day. Each one of us is here to put our customers at the heart of everything we do by creating moments that engage, surprise and thrill.
Our 4,500+ strong team is as diverse as Australia itself. Our people drive homegrown world-class brands; Tatts, TAB, NSW Lotteries, Golden Casket, SA Lotteries, Keno, Sky Racing, Sky Sports Radio and MAX. As an ASX listed company we’re proud to shape our industry for the better. Because together, anything’s possible.
Tabcorp is committed to creating an inclusive workplace where all our people feel valued for their unique qualities and have a sense of belonging. If you need assistance or adjustments to fully participate in the application process, please contact tabcorprecruitment@tabcorp.com.au

COVID-19
Tabcorp is closely monitoring Department of Health guidelines to ensure we continue to provide a safe working environment.

Advertised: 21 Jul 2021 12:00 AM AUS Eastern Standard Time
Applications close: 30 Jul 2021 11:55 PM AUS Eastern Standard Time"
1,"
Data Analyst, Financial Intelligence Unit",Westpac Group,Sydney NSW,7/21/2021,https://au.indeed.com/rc/clk?jk=e5dfc4d6490fe195&fccid=3fd7e618c83b6346&vjs=3,NA,NA,NA,"H
ow will I help? R
eporting to the Senior Manager of the Financial Intelligence Unit (FIU), the Senior Data and Insights Analyst plays a key role in proactively identifying, managing, and mitigating financial crime risk for all divisions within the Westpac Group. I
n this role you will work with the FIU leadership team to identify typologies and emerging threats to enhance Westpac’s ability to manage financial crime risk. To do this you will extract, validate, and transform data from the multiple sources, developing network and transaction insights and reporting to support the strategic management of Financial Crime risk. Y
ou will develop and maintain new analytics techniques and identify opportunities to enhance FIU’s capability to monitor financial crime risk. Support the FIU with new and ad-hoc analysis to deliver data driven insights to our internal and industry stakeholders, such as the Fintel Alliance. Also, you will support the provision of data, analysis and forecasting required for improved decision making within FIU and Financial Crime teams. W
hat’s in it for you? Y
ou’ll play an important and significant part in the future of a business that has been around for 200 years and be instrumental in achieving our purpose of helping Australians succeed. So, we’ll back you in the development of your career, with internal career prospects and flexible working. You’ll also be backed by a fantastic team of people in a can-do, supportive structure. W
hat do I need? W
ith a strong Analytics background you will have proven experience mining and manipulating data to create insights, reports and presentations that highlight threats, and issues. You will have produced this content for use and review by stakeholders at various levels and can communicate your findings to Senior Bank Executives. E
xperience having previously worked for a large organisation with data is important as you will need to come in and hit the ground running. Advanced SQL knowledge is also required. T
his is a fantastic role to come into a well established team to continue to learn and build your career whilst working in one of the fastest growing areas within this bank and Australia. W
hat’s it like to work there? W
e aim to provide one big, supportive team of people who love helping others succeed. As an equal opportunity employer, we’re proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion.an equal opportunity employer, we are proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion. H
ow do I Apply? S
tart here. Just click on the APPLY button. A
s part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply. O"
2,"
Senior Analyst - Risk Reporting",Westpac Group,Sydney NSW•Remote,7/21/2021,https://au.indeed.com/rc/clk?jk=1d68c81f607480a9&fccid=3fd7e618c83b6346&vjs=3,NA,NA,NA,"H
ow will I help? Y
ou will engage with customers to understand data requirements & document business objectives, requirements in/out of scope, risks, issues and challenges. This included analysing source systems, existing enterprise, Risk & other data sets to determine most appropriate data sources that will meet customer requirements. A
s a Senior Analyst Risk Reporting you will assess quality of determined data sets to identify gaps, issues and variances & document them as technical findings. Then the technical findings will be discussed with customers helping them accept the variances or carry out more detailed analysis as requested by customers until agreed & signed off by them. A
ssisting in defining the data checks and reconciliations required to ensure quality of data solution delivered is part of the responsibilities of the role. Additionally, you will prepare test scripts, perform testing of data assets prior to production roll out to ensure customer requirements have been met. You will assist customers performing UAT & PIV of their data assets for validity & accuracy. W
hat is in it for me? I
n a word, lots! As well as job flexibility and the financial benefits for being part of the Westpac team (like special banking, wealth, and insurance offers) you will be paid well, and trained so your career can grow as you do. You will also be encouraged to take part in our fun community projects as a paid volunteer. Importantly you will play a significant role in the future of a business that has been around for 200 years. W
hat do I need? Y
ou will have Credit Risk/ IT experience and working in financial services industry. Y
ou must be proficient in SAS, Excel, VBA, R, SQL, PL/SQL and in relational databases such as Teradata, big data platforms, such as Hadoop and visualisation tools such as Tableau. W
hat is it like to work there? W
e aim to provide one big, supportive team of people who love helping others succeed. As an equal opportunity employer, we are proud to have created a culture and work environment that values diversity and flexibility- and champions inclusion. H
ow do I Apply? S
tart here. Just click on the APPLY button. A
s part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply. T"
3,"
People Reporting Analyst",Lendlease,Sydney Central Business District NSW,7/21/2021,https://au.indeed.com/rc/clk?jk=8bd2f14bdbcc0998&fccid=76df37c4fa13a99e&vjs=3,NA,NA,NA,"Lendlease is one of the world’s leading property and infrastructure groups. Our vision is to create the best places not just for our clients and communities, but especially for our employees. Delivering iconic and award-winning projects, we are setting standards in innovative and industry-leading project management, construction and design services locally and globally.
An exciting opportunity has become available for a People Reporting Analyst to join our People Connect team. In this position, you will be responsible for the design and delivery of reporting solutions as well as providing guidance and advice to internal customers, across the Lendlease business, in relation to reporting capabilities.
In this position, you will also be responsible for managing data integrity, working with a high level of People analytics and information from across the business. You will be part of a highly supportive team and will have the opportunity to work across multiple systems and databases, as well as gaining an insight into large, matrix driven organisation.
To be successful in this role, you will have demonstrated experience with the design and delivery of Workday reporting (or similar cloud HR solutions) along with knowledge of business intelligence platforms such as Tableau. Critical to this role is advanced excel skills, along with the ability to confidently engage with a diverse range of stakeholders. You will have an excellent eye for detail, as well as having strong organisational skills.
We embrace the value of a vibrant and diverse workforce and recognise that our people have different experiences and needs at different times. Lendlease is a diverse, flexible and inclusive employer of choice. We engage, enable and empower our people and support their individual needs. Inclusion sets us all up for success.
We embrace the value of a vibrant and diverse workforce and recognise that our people have different experiences and needs at different times. Lendlease is a diverse, flexible and inclusive employer of choice. We engage, enable and empower our people and support their individual needs. Inclusion sets us all up for success."
4,"
BI & Data Analytics Developer (Python) – Financial Markets",Westpac Group,Sydney NSW,7/21/2021,https://au.indeed.com/rc/clk?jk=cc836797d3c606d9&fccid=3fd7e618c83b6346&vjs=3,NA,NA,NA,"We are looking for a BI & Data Analyst with technical experience with Python to join our Financial Markets division to deliver business efficiency through process analysis, simplification, and workflow automation!
How will I help?
You will join the Westpac Institutional Bank’s (WIB)Business and Consumer Financial Markets (B&C) team focussed on providing Financial Markets execution, advice, support, and risk services to customers across the Business and Consumer Division of the Group. You will utilise your technical data and Python skills, along with your understanding of data science principles to deliver business efficiency through process analysis, simplification, and workflow automation.
You will work in a team of analysts with skills in Python, SQL, Power BI, Tableau and GitHub to support business performance through the analysis of data, workflow, and application development, to deliver tailored and targeted business process and insights which supports business growth and enables a better understanding of our customer base.
You will:
Construct appropriate new workflows and User Developed Applications using your experience of Python, SQL and others and adhering to operating principles for the BIO team.
Collaborate with the Data, Analytics & Systematic trading team to adhere to development and security principles.
Support the development of business efficiency, uplift the general digital capability of the B&C business, and reduce risk.
Identify risks to project or task timelines, and work to address risks identified.
Ensure standardised strong principles of data security, appropriate data access and effective data control are embedded throughout your work.
What’s in it for me?
Job flexibility and the financial benefits for being part of the Westpac team (like special banking, wealth and insurance offers) you’ll be paid well, and trained so your career can grow as you do. You’ll also be encouraged to take part in our fun community projects as a paid volunteer.
What do I need?
Experience in analysing data and developing applications using Python and SQL, and other methods including Power BI, tableau, GitHub etc., and using this data to identify problems, design solutions and think in an agile manner. You will be able to work autonomously and understand business requirements and problems and can think creatively to deliver bespoke data and insight solutions to senior Stakeholders across Financial Markets.
Some further advantageous skills:
Experience in application and workflow design and development
Able to build and maintain strong relationships with stakeholders
Understanding of compliance and risk obligations relating to data and customer information.
Experience in meeting the operational challenges involved in a highly demanding environment with competing priorities.
What’s it like to work there?
We aim to provide one big, supportive team to help us reach our vision to become one of the world’s great service companies. As an equal opportunity employer, we’re proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion.
How do I Apply?
Start Here. Just click on the APPLY button.
As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply.
The health and wellbeing of our employees is our priority and we will ensure that physical distancing requirements are met in all our workplaces as long as required."
5,"
Commercial Analyst",British American Tobacco,Sydney NSW,7/21/2021,https://au.indeed.com/rc/clk?jk=0e7afc69cc9c71a7&fccid=8e1a8291113cc060&vjs=3,NA,NA,NA,"We are looking for a BI & Data Analyst with technical experience with Python to join our Financial Markets division to deliver business efficiency through process analysis, simplification, and workflow automation!
How will I help?
You will join the Westpac Institutional Bank’s (WIB)Business and Consumer Financial Markets (B&C) team focussed on providing Financial Markets execution, advice, support, and risk services to customers across the Business and Consumer Division of the Group. You will utilise your technical data and Python skills, along with your understanding of data science principles to deliver business efficiency through process analysis, simplification, and workflow automation.
You will work in a team of analysts with skills in Python, SQL, Power BI, Tableau and GitHub to support business performance through the analysis of data, workflow, and application development, to deliver tailored and targeted business process and insights which supports business growth and enables a better understanding of our customer base.
You will:
Construct appropriate new workflows and User Developed Applications using your experience of Python, SQL and others and adhering to operating principles for the BIO team.
Collaborate with the Data, Analytics & Systematic trading team to adhere to development and security principles.
Support the development of business efficiency, uplift the general digital capability of the B&C business, and reduce risk.
Identify risks to project or task timelines, and work to address risks identified.
Ensure standardised strong principles of data security, appropriate data access and effective data control are embedded throughout your work.
What’s in it for me?
Job flexibility and the financial benefits for being part of the Westpac team (like special banking, wealth and insurance offers) you’ll be paid well, and trained so your career can grow as you do. You’ll also be encouraged to take part in our fun community projects as a paid volunteer.
What do I need?
Experience in analysing data and developing applications using Python and SQL, and other methods including Power BI, tableau, GitHub etc., and using this data to identify problems, design solutions and think in an agile manner. You will be able to work autonomously and understand business requirements and problems and can think creatively to deliver bespoke data and insight solutions to senior Stakeholders across Financial Markets.
Some further advantageous skills:
Experience in application and workflow design and development
Able to build and maintain strong relationships with stakeholders
Understanding of compliance and risk obligations relating to data and customer information.
Experience in meeting the operational challenges involved in a highly demanding environment with competing priorities.
What’s it like to work there?
We aim to provide one big, supportive team to help us reach our vision to become one of the world’s great service companies. As an equal opportunity employer, we’re proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion.
How do I Apply?
Start Here. Just click on the APPLY button.
As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply.
The health and wellbeing of our employees is our priority and we will ensure that physical distancing requirements are met in all our workplaces as long as required."
