Job Title,Company Name,Location,Date Scraped,Job URL,Job Industry,Job Type,Job Seniority,Job Description
0,Programador/a Robótica (ESTABLE). Inglés.,Keyland Sistemas de Gestión,"Valladolid, Castilla and Leon, Spain",2021-07-26,https://es.linkedin.com/jobs/view/programador-a-rob%C3%B3tica-estable-ingl%C3%A9s-at-keyland-sistemas-de-gesti%C3%B3n-2650560540?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=BukPAlq32%2FdCy01%2FKi8dOQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Computer Software,"Employment type
Full-time",Mid-Senior level,"En KEYLAND nos dedicamos a la optimización, desarrollo, comercialización e implantación de procesos y soluciones de gestión para empresas que actúen en entornos competitivos, especializada en la actividad industrial y con una presencia significativo en el sector financiero. Para que nos conozcas más te diremos que Keyland es una empresa participada por Grupo Antolín (multinacional española líder en el sector automoción) y por Vector ITC & Softtek Company."
1,Business Intelligence Analyst,Carnovo,"Barcelona, Catalonia, Spain",2021-07-26,https://es.linkedin.com/jobs/view/business-intelligence-analyst-at-carnovo-2658678935?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=fILNV1G83i8huIqwdIxVgQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,"At Carnovo we are continuing to revolutionize the way to buy and sell cars since its foundation in 2016 by Antai Venture Builder, the same group that co-founded Wallapop, Glovo, CornerJob, Deliberry, Elma, and many other successful startups.  We are a well-founded startup from very important investors such as Antai, Atresmedia, Banc Sabadell, or Mountain Partners (more than 10 IPO), among others.  Carnovo is a multidisciplinary open-minded team, with critical spirit and creativity, where each member contributes with their value and vision. Thanks to this culture we manage to get the best out of each one of us to grow as a group and individually.  💪🏽  Our mission is simple, turn upside down and transform the car buying process by placing our at the center, making them save time and money while offering them transparency and the best buying experience.  Our customers can configure the car they want and in a few minutes they receive, without moving from the sofa, the best five offers from the over 1000 official car dealers with whom we work closely.  📍  In Barcelona at , our offices are located in a privileged place, , which creates a perfect ecosystem to develop the best technological solutions with endless synergies between all of the startups that are part of this adventure.  👩🏽‍💻🧑🏽‍💻  We are looking for Business Intelligence Analyst through the data to improve the company's product, processes, and performance.  At the same time, improve our Data Warehouse to capture the value and ."
2,Web Analytics Specialist,Robert Walters,"Madrid, Community of Madrid, Spain",2021-07-26,https://es.linkedin.com/jobs/view/web-analytics-specialist-at-robert-walters-2658676906?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=bNY5O8lif2S%2B%2BaLjbtc8zQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Banking, Information Technology and Services, and Insurance","Employment type
Full-time",Mid-Senior level,Multinacional alemana líder en sector financiero (contratación directa e indefinida) busca un Web Analytics Implementation Specialist con experiencia en Análisis de Datos para trabajar en su sede de Madrid end to end en coordinación con los diferentes proyectos de la compañía a nivel global.
3,Business Analyst (Intern),Satorisan,"Valencia, Valencian Community, Spain",2021-07-26,https://es.linkedin.com/jobs/view/business-analyst-intern-at-satorisan-2658676672?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=hH3hkkqJUm%2Fyxldi9oRtag%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,"SATORISAN is looking for dynamic personalities, in search of challenges and new skills, who will quickly adapt to our new team and will inject energy into it to boost its transformation!  Responsabilities:"
4,Semi-Senior QA Analyst,"Social You, S.L.","Barcelona, Catalonia, Spain",2021-07-26,https://es.linkedin.com/jobs/view/semi-senior-qa-analyst-at-social-you-s-l-2658680475?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=verSZHd1en7hYdbgB7wxXw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,"Our client, a leading multinational in the leisure and entertainment sector, currently in the process of expansion, with several work centers throughout Spain, and more than 500 employees. Within its expansion plan we are looking for a Semi-Senior Quality Control Analyst ."
5,SW developer,ALTEN SPAIN,"Vigo, Galicia, Spain",2021-07-26,https://es.linkedin.com/jobs/view/sw-developer-at-alten-spain-2658678774?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=c4PFGjRbbrsdhVUM%2BaDsGQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services,"Employment type
Full-time",Associate,"ALTEN precisa incorporar un/a desarrollador/a de SW para que trabaje como desarrollado dentro del equipo de software creando y diseñando SW embebido para su ejecución en microcontroladores de componentes para vehículo eléctrico Tareas: Documente sus diseños de software y arquitectura para cumplir con Automotive SPICE e ISO26262 Creación y mantenimiento de documentación detallada de requisitos de software basada en especificaciones, revisiones y aclaraciones internas y del cliente Realice pruebas unitarias de software para ejercitar su funcionalidad implementada"
6,Programador/a VisualBasic.net con Euskera,EULEN Selección,"San Sebastián, Basque Country, Spain",2021-07-26,https://es.linkedin.com/jobs/view/programador-a-visualbasic-net-con-euskera-at-eulen-selecci%C3%B3n-2658683102?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=eVVVRvLW3lvDq5I8mbiQkQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Human Resources and Government Administration,"Employment type
Full-time",Mid-Senior level,¿Quieres formar parte de un Dpto. Informática dentro de una empresa de servicios públicos? ¿Quieres desarrollarte profesionalmente con proyectos en VisualBasic.net? ¿Buscas una estabilidad laboral fuera de la consultoría Informática?
7,Data Analyst - Strategy and Analytics in Live Operations (They/She/He),Glovo,"Barcelona, Catalonia, Spain",2021-07-26,https://es.linkedin.com/jobs/view/data-analyst-strategy-and-analytics-in-live-operations-they-she-he-at-glovo-2479734262?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=c%2Bg775f2A%2F6kBlXTNCRF3w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Internet, Human Resources, and Retail","Employment type
Full-time",Entry level,"About Glovo  We’re a Barcelona-based startup and the fastest-growing delivery player in Europe, Hispanic America and Africa. With food at the core of the business, Glovo delivers any product within your city at any time of day.  Our vision and ambition are not only to make everything immediately available in your city but it is also to offer our employees the job of their lives. A job where you'll be challenged and have the most fun working in through tech-enabled experiences.    Glovo (glovoapp.com) is looking for a passionate, proactive, data-driven and hands-on professional to support our Live Operations Strategy & Analytics department in our headquarters in Barcelona. You will be the reporting and analytical point of contact for our Live Operations department helping provide an excellent and efficient service.                                        If you believe you match these values, we look forward to meeting you!  At Glovo we believe that diversity adds incredible value to our teams, our products, and our culture. We know that the best ideas and solutions come by bringing together people from all over the world and by fostering a culture of inclusion where everyone feels heard and has the chance to make a real impact. It's because of this that we are committed to providing equal opportunities to talent from all backgrounds.  Wanna take a peek into what it's like to work at Glovo? Follow us on Instagram and like us on Facebook!  Glovo is transforming the way consumers access local goods, enabling anyone to get almost any product delivered in minutes. Our on-demand logistics connect customers with independent local couriers who acquire goods from any restaurant or store in a city, as well as deliver urgent packages for a variable fee. As of 2020, we’re currently present in more than 22 countries across Europe, Latin America, Africa, and Asia.  For additional information on Glovo, please visit https://jobs.glovoapp.com/en/careers"
8,PROGRAMADOR/A FULL STACK,RAS Interim España,Greater Madrid Metropolitan Area,2021-07-26,https://es.linkedin.com/jobs/view/programador-a-full-stack-at-ras-interim-espa%C3%B1a-2656320242?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=sJLWhtsKrvz%2FSkE7SQ6IBw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services,"Employment type
Full-time",Associate,"En RAS INTERIM Consultoría somos expertos en proyectos de Atracción, Formación, Desarrollo y Outplacement.  Desde el área de Atracción ayudamos a perfiles directivos, ejecutivos y mandos intermedios a encontrar un proyecto profesional a medida. Actualmente nos encontramos en la búsqueda de para una importante empresa líder en el sector de sistemas de climatización, ubicada en la zona del Corredor del Henares, en ."
9,Business Analyst (Departamento Ventas),Manpower España,"Torrejón de Ardoz, Community of Madrid, Spain",2021-07-26,https://es.linkedin.com/jobs/view/business-analyst-departamento-ventas-at-manpower-espa%C3%B1a-2658682179?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=NsD4mfHZRn%2Fq3GNz2NsW3g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Food & Beverages,"Employment type
Full-time",Not Applicable,"Importante empresa multinacional del Sector del Vending necesita incorporar a plantilla directa y con contrato directo e indefinido un/a Business Analyst (Departamento Ventas)  Funciones: - Ser responsable del CRM Microsoft Dynamics 365, gestionando la actualización diaria del CRM interactuando a nivel Grupo con el resto de países"
10,Business Analyst,Wolters Kluwer,"Barcelona, Catalonia, Spain",2021-07-26,https://es.linkedin.com/jobs/view/business-analyst-at-wolters-kluwer-2592899393?refId=HpcX1X%2FOCkiUtr%2Bkk2ybzw%3D%3D&trackingId=b8aZ6Q4pcxR1FaNI5rG0Nw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Information Technology and Services, Computer Software, and Internet","Employment type
Full-time",Not Applicable,"Wolters Kluwer Tax and Accounting España is looking for a Business Analyst who will actively participate in the company's next business growth strategy.  Mission  The Business Development Analyst will have primary responsibility for identifying new business opportunities, deliver high quality proposals and presentations whilst contributing to the strategic growth of the business. The ideal candidate will be a motivated self-starter and has exceptional communication and quantitative skills, as well as internal and external relationship management building abilities."
