,skill,count,mentions_percent
26,excel,259,30.87
35,industry,157,18.71
3,reporting,123,14.66
55,industria,18,12.86
19,sql,104,12.4
18,sas,72,8.58
23,intelligence,58,6.91
14,programming,55,6.56
17,python,55,6.56
6,tableau,50,5.96
4,power bi,40,4.77
32,google,39,4.65
29,aws,34,4.05
34,domain,29,3.46
0,data visualization,27,3.22
50,limpieza,4,2.86
46,visualización,4,2.86
49,reportes,4,2.86
27,etl,23,2.74
28,azure,21,2.5
21,machine learning,18,2.15
54,dominio,3,2.14
8,qlik,17,2.03
42,pipeline,17,2.03
5,powerbi,16,1.91
7,looker,15,1.79
37,spark,12,1.43
16, r ,12,1.43
47,visualizar,2,1.43
20,nosql,9,1.07
45,pig,8,0.95
22,artificial,8,0.95
39,databricks,6,0.72
53,inteligencia,1,0.71
33,oracle,5,0.6
25,microsoft excel,5,0.6
9,google data studio,4,0.48
24, ml ,4,0.48
44,hadoop,4,0.48
41,dbt,2,0.24
15,matlab,1,0.12
40,airflow,1,0.12
1,data viz,1,0.12
12,data prep,1,0.12
13,data preparation,1,0.12
2,visualizing data,1,0.12
38,dataproc,0,0
43,scalding,0,0
36,apache,0,0
31,gcp,0,0
30,google cloud platform,0,0
48,reporteria,0,0
10,gds,0,0
11,data cleaning,0,0
51,preparacion,0,0
52,preparación,0,0
